StockSymbol,Options Symbol,Strike,Expiration Date,OptionType,Price,Bid,Ask,Volume,Open Interest,Time
FSLR,FSLR150612P00045000,45.0,2015-06-12,Put,0.22,0.00,0.00,5,5,08:41
FSLR,FSLR150612P00046000,46.0,2015-06-12,Put,0.05,0.00,0.00,1,1,08:41
FSLR,FSLR150612P00046500,46.5,2015-06-12,Put,0.03,0.00,0.00,1,16,08:41
FSLR,FSLR150612P00047000,47.0,2015-06-12,Put,0.12,0.00,0.00,705,807,08:41
FSLR,FSLR150612P00047500,47.5,2015-06-12,Put,0.05,0.00,0.00,5,60,08:41
FSLR,FSLR150612P00048000,48.0,2015-06-12,Put,0.09,0.00,0.00,3,190,08:41
FSLR,FSLR150612P00048500,48.5,2015-06-12,Put,0.26,0.00,0.00,1,119,08:41
FSLR,FSLR150612P00049000,49.0,2015-06-12,Put,0.11,0.00,0.00,31,356,08:41
FSLR,FSLR150612P00049500,49.5,2015-06-12,Put,0.17,0.00,0.00,7,307,08:41
FSLR,FSLR150612P00050000,50.0,2015-06-12,Put,0.29,0.00,0.00,142,364,08:41
FSLR,FSLR150612P00050500,50.5,2015-06-12,Put,0.49,0.00,0.00,30,289,08:41
FSLR,FSLR150612P00051000,51.0,2015-06-12,Put,0.78,0.00,0.00,5,83,08:41
FSLR,FSLR150612P00051500,51.5,2015-06-12,Put,1.39,0.00,0.00,10,118,08:41
FSLR,FSLR150612P00052000,52.0,2015-06-12,Put,1.83,0.00,0.00,10,70,08:41
FSLR,FSLR150612P00052500,52.5,2015-06-12,Put,2.20,0.00,0.00,1,14,08:41
FSLR,FSLR150612P00053000,53.0,2015-06-12,Put,2.55,0.00,0.00,4,82,08:41
FSLR,FSLR150612P00053500,53.5,2015-06-12,Put,2.89,0.00,0.00,10,14,08:41
FSLR,FSLR150612P00054000,54.0,2015-06-12,Put,4.20,0.00,0.00,8,13,08:41
FSLR,FSLR150612P00054500,54.5,2015-06-12,Put,0.84,0.00,0.00,36,36,08:41
FSLR,FSLR150612P00055000,55.0,2015-06-12,Put,5.50,0.00,0.00,8,47,08:41
FSLR,FSLR150612P00055500,55.5,2015-06-12,Put,6.10,0.00,0.00,5,18,08:41
FSLR,FSLR150612P00056000,56.0,2015-06-12,Put,5.47,0.00,0.00,1,33,08:41
FSLR,FSLR150612P00056500,56.5,2015-06-12,Put,6.29,0.00,0.00,3,67,08:41
FSLR,FSLR150612P00057000,57.0,2015-06-12,Put,2.60,0.00,0.00,16,16,08:41
FSLR,FSLR150612P00057500,57.5,2015-06-12,Put,2.25,0.00,0.00,3,15,08:41
FSLR,FSLR150612P00058000,58.0,2015-06-12,Put,8.85,0.00,0.00,7,23,08:41
FSLR,FSLR150612P00058500,58.5,2015-06-12,Put,3.90,0.00,0.00,16,8,08:41
FSLR,FSLR150612P00059000,59.0,2015-06-12,Put,8.13,0.00,0.00,5,5,08:41
FSLR,FSLR150612P00059500,59.5,2015-06-12,Put,4.10,0.00,0.00,24,32,08:41
FSLR,FSLR150612P00060000,60.0,2015-06-12,Put,4.47,0.00,0.00,1,1,08:41
FSLR,FSLR150612P00060500,60.5,2015-06-12,Put,5.05,0.00,0.00,12,12,08:41
FSLR,FSLR150612P00061500,61.5,2015-06-12,Put,3.80,0.00,0.00,3,3,08:41
FSLR,FSLR150612P00062500,62.5,2015-06-12,Put,5.00,0.00,0.00,1,0,08:41
FSLR,FSLR150612P00063000,63.0,2015-06-12,Put,7.67,0.00,0.00,5,0,08:41
FSLR,FSLR150612P00063500,63.5,2015-06-12,Put,5.80,0.00,0.00,2,1,08:41
FSLR,FSLR150612P00064000,64.0,2015-06-12,Put,6.20,0.00,0.00,13,13,08:41
FSLR,FSLR150612P00064500,64.5,2015-06-12,Put,5.95,0.00,0.00,3,0,08:41
FSLR,FSLR150612P00065000,65.0,2015-06-12,Put,9.37,0.00,0.00,12,0,08:41
FSLR,FSLR150612P00065500,65.5,2015-06-12,Put,7.40,0.00,0.00,1,1,08:41
StockSymbol,Options Symbol,Strike,Expiration Date,OptionType,Price,Bid,Ask,Volume,Open Interest,Time
FSLR,FSLR150612C00045000,45.0,2015-06-12,Call,4.45,0.00,0.00,12,38,08:42
FSLR,FSLR150612C00045500,45.5,2015-06-12,Call,5.55,0.00,0.00,4,4,08:42
FSLR,FSLR150612C00046000,46.0,2015-06-12,Call,5.05,0.00,0.00,9,9,08:42
FSLR,FSLR150612C00046500,46.5,2015-06-12,Call,3.55,0.00,0.00,1,5,08:42
FSLR,FSLR150612C00047000,47.0,2015-06-12,Call,4.30,0.00,0.00,1,1,08:42
FSLR,FSLR150612C00047500,47.5,2015-06-12,Call,3.95,0.00,0.00,2,2,08:42
FSLR,FSLR150612C00048000,48.0,2015-06-12,Call,2.32,0.00,0.00,9,38,08:42
FSLR,FSLR150612C00048500,48.5,2015-06-12,Call,2.40,0.00,0.00,1,3,08:42
FSLR,FSLR150612C00049000,49.0,2015-06-12,Call,2.20,0.00,0.00,370,351,08:42
FSLR,FSLR150612C00049500,49.5,2015-06-12,Call,1.26,0.00,0.00,868,735,08:42
FSLR,FSLR150612C00050000,50.0,2015-06-12,Call,0.79,0.00,0.00,71,1426,08:42
FSLR,FSLR150612C00050500,50.5,2015-06-12,Call,0.71,0.00,0.00,18,1001,08:42
FSLR,FSLR150612C00051000,51.0,2015-06-12,Call,0.35,0.00,0.00,272,924,08:42
FSLR,FSLR150612C00051500,51.5,2015-06-12,Call,0.25,0.00,0.00,249,740,08:42
FSLR,FSLR150612C00052000,52.0,2015-06-12,Call,0.24,0.00,0.00,506,655,08:42
FSLR,FSLR150612C00052500,52.5,2015-06-12,Call,0.10,0.00,0.00,15,573,08:42
FSLR,FSLR150612C00053000,53.0,2015-06-12,Call,0.12,0.00,0.00,6,305,08:42
FSLR,FSLR150612C00053500,53.5,2015-06-12,Call,0.15,0.00,0.00,3,43,08:42
FSLR,FSLR150612C00054000,54.0,2015-06-12,Call,0.12,0.00,0.00,2,68,08:42
FSLR,FSLR150612C00054500,54.5,2015-06-12,Call,0.25,0.00,0.00,1,133,08:42
FSLR,FSLR150612C00055000,55.0,2015-06-12,Call,0.25,0.00,0.00,1,81,08:42
FSLR,FSLR150612C00055500,55.5,2015-06-12,Call,2.00,0.00,0.00,16,4,08:42
FSLR,FSLR150612C00056000,56.0,2015-06-12,Call,1.04,0.00,0.00,6,41,08:42
FSLR,FSLR150612C00056500,56.5,2015-06-12,Call,0.94,0.00,0.00,4,31,08:42
FSLR,FSLR150612C00057000,57.0,2015-06-12,Call,0.29,0.00,0.00,1,90,08:42
FSLR,FSLR150612C00057500,57.5,2015-06-12,Call,0.56,0.00,0.00,163,244,08:42
FSLR,FSLR150612C00058000,58.0,2015-06-12,Call,0.03,0.00,0.00,2,11,08:42
FSLR,FSLR150612C00058500,58.5,2015-06-12,Call,0.05,0.00,0.00,1,18,08:42
FSLR,FSLR150612C00059000,59.0,2015-06-12,Call,0.48,0.00,0.00,6,20,08:42
FSLR,FSLR150612C00059500,59.5,2015-06-12,Call,0.04,0.00,0.00,3,3,08:42
FSLR,FSLR150612C00060000,60.0,2015-06-12,Call,0.03,0.00,0.00,5,87,08:42
FSLR,FSLR150612C00060500,60.5,2015-06-12,Call,0.01,0.00,0.00,1,14,08:42
FSLR,FSLR150612C00061000,61.0,2015-06-12,Call,0.01,0.00,0.00,10,166,08:42
FSLR,FSLR150612C00061500,61.5,2015-06-12,Call,0.67,0.00,0.00,87,84,08:42
FSLR,FSLR150612C00062000,62.0,2015-06-12,Call,0.60,0.00,0.00,1,13,08:42
FSLR,FSLR150612C00062500,62.5,2015-06-12,Call,0.09,0.00,0.00,1,5,08:42
FSLR,FSLR150612C00065000,65.0,2015-06-12,Call,0.34,0.00,0.00,42,42,08:42
FSLR,FSLR150612P00043500,43.5,2015-06-12,Put,0.13,0.00,0.00,81,81,08:42
FSLR,FSLR150612P00045000,45.0,2015-06-12,Put,0.22,0.00,0.00,5,5,08:42
FSLR,FSLR150612P00046000,46.0,2015-06-12,Put,0.05,0.00,0.00,1,1,08:42
FSLR,FSLR150612P00046500,46.5,2015-06-12,Put,0.03,0.00,0.00,1,16,08:42
FSLR,FSLR150612P00047000,47.0,2015-06-12,Put,0.12,0.00,0.00,705,807,08:42
FSLR,FSLR150612P00047500,47.5,2015-06-12,Put,0.05,0.00,0.00,5,60,08:42
FSLR,FSLR150612P00048000,48.0,2015-06-12,Put,0.09,0.00,0.00,3,190,08:42
FSLR,FSLR150612P00048500,48.5,2015-06-12,Put,0.26,0.00,0.00,1,119,08:42
FSLR,FSLR150612P00049000,49.0,2015-06-12,Put,0.11,0.00,0.00,31,356,08:42
FSLR,FSLR150612P00049500,49.5,2015-06-12,Put,0.17,0.00,0.00,7,307,08:42
FSLR,FSLR150612P00050000,50.0,2015-06-12,Put,0.29,0.00,0.00,142,364,08:42
FSLR,FSLR150612P00050500,50.5,2015-06-12,Put,0.49,0.00,0.00,30,289,08:42
FSLR,FSLR150612P00051000,51.0,2015-06-12,Put,0.78,0.00,0.00,5,83,08:42
FSLR,FSLR150612P00051500,51.5,2015-06-12,Put,1.39,0.00,0.00,10,118,08:42
FSLR,FSLR150612P00052000,52.0,2015-06-12,Put,1.83,0.00,0.00,10,70,08:42
FSLR,FSLR150612P00052500,52.5,2015-06-12,Put,2.20,0.00,0.00,1,14,08:42
FSLR,FSLR150612P00053000,53.0,2015-06-12,Put,2.55,0.00,0.00,4,82,08:42
FSLR,FSLR150612P00053500,53.5,2015-06-12,Put,2.89,0.00,0.00,10,14,08:42
FSLR,FSLR150612P00054000,54.0,2015-06-12,Put,4.20,0.00,0.00,8,13,08:42
FSLR,FSLR150612P00054500,54.5,2015-06-12,Put,0.84,0.00,0.00,36,36,08:42
FSLR,FSLR150612P00055000,55.0,2015-06-12,Put,5.50,0.00,0.00,8,47,08:42
FSLR,FSLR150612P00055500,55.5,2015-06-12,Put,6.10,0.00,0.00,5,18,08:42
FSLR,FSLR150612P00056000,56.0,2015-06-12,Put,5.47,0.00,0.00,1,33,08:42
FSLR,FSLR150612P00056500,56.5,2015-06-12,Put,6.29,0.00,0.00,3,67,08:42
FSLR,FSLR150612P00057000,57.0,2015-06-12,Put,2.60,0.00,0.00,16,16,08:42
FSLR,FSLR150612P00057500,57.5,2015-06-12,Put,2.25,0.00,0.00,3,15,08:42
FSLR,FSLR150612P00058000,58.0,2015-06-12,Put,8.85,0.00,0.00,7,23,08:42
FSLR,FSLR150612P00058500,58.5,2015-06-12,Put,3.90,0.00,0.00,16,8,08:42
FSLR,FSLR150612P00059000,59.0,2015-06-12,Put,8.13,0.00,0.00,5,5,08:42
FSLR,FSLR150612P00059500,59.5,2015-06-12,Put,4.10,0.00,0.00,24,32,08:42
FSLR,FSLR150612P00060000,60.0,2015-06-12,Put,4.47,0.00,0.00,1,1,08:42
FSLR,FSLR150612P00060500,60.5,2015-06-12,Put,5.05,0.00,0.00,12,12,08:42
FSLR,FSLR150612P00061500,61.5,2015-06-12,Put,3.80,0.00,0.00,3,3,08:42
FSLR,FSLR150612P00062500,62.5,2015-06-12,Put,5.00,0.00,0.00,1,0,08:42
FSLR,FSLR150612P00063000,63.0,2015-06-12,Put,7.67,0.00,0.00,5,0,08:42
FSLR,FSLR150612P00063500,63.5,2015-06-12,Put,5.80,0.00,0.00,2,1,08:42
FSLR,FSLR150612P00064000,64.0,2015-06-12,Put,6.20,0.00,0.00,13,13,08:42
FSLR,FSLR150612P00064500,64.5,2015-06-12,Put,5.95,0.00,0.00,3,0,08:42
FSLR,FSLR150612P00065000,65.0,2015-06-12,Put,9.37,0.00,0.00,12,0,08:42
FSLR,FSLR150612P00065500,65.5,2015-06-12,Put,7.40,0.00,0.00,1,1,08:42
StockSymbol,Options Symbol,Strike,Expiration Date,OptionType,Price,Bid,Ask,Volume,Open Interest,Time
FSLR,FSLR150612C00045000,45.0,2015-06-12,Call,4.45,0.00,0.00,12,38,08:43
FSLR,FSLR150612C00045500,45.5,2015-06-12,Call,5.55,0.00,0.00,4,4,08:43
FSLR,FSLR150612C00046000,46.0,2015-06-12,Call,5.05,0.00,0.00,9,9,08:43
FSLR,FSLR150612C00046500,46.5,2015-06-12,Call,3.55,0.00,0.00,1,5,08:43
FSLR,FSLR150612C00047000,47.0,2015-06-12,Call,4.30,0.00,0.00,1,1,08:43
FSLR,FSLR150612C00047500,47.5,2015-06-12,Call,3.95,0.00,0.00,2,2,08:43
FSLR,FSLR150612C00048000,48.0,2015-06-12,Call,2.32,0.00,0.00,9,38,08:43
FSLR,FSLR150612C00048500,48.5,2015-06-12,Call,2.40,0.00,0.00,1,3,08:43
FSLR,FSLR150612C00049000,49.0,2015-06-12,Call,2.20,0.00,0.00,370,351,08:43
FSLR,FSLR150612C00049500,49.5,2015-06-12,Call,1.26,0.00,0.00,868,735,08:43
FSLR,FSLR150612C00050000,50.0,2015-06-12,Call,0.79,0.00,0.00,71,1426,08:43
FSLR,FSLR150612C00050500,50.5,2015-06-12,Call,0.71,0.00,0.00,18,1001,08:43
FSLR,FSLR150612C00051000,51.0,2015-06-12,Call,0.35,0.00,0.00,272,924,08:43
FSLR,FSLR150612C00051500,51.5,2015-06-12,Call,0.25,0.00,0.00,249,740,08:43
FSLR,FSLR150612C00052000,52.0,2015-06-12,Call,0.24,0.00,0.00,506,655,08:43
FSLR,FSLR150612C00052500,52.5,2015-06-12,Call,0.10,0.00,0.00,15,573,08:43
FSLR,FSLR150612C00053000,53.0,2015-06-12,Call,0.12,0.00,0.00,6,305,08:43
FSLR,FSLR150612C00053500,53.5,2015-06-12,Call,0.15,0.00,0.00,3,43,08:43
FSLR,FSLR150612C00054000,54.0,2015-06-12,Call,0.12,0.00,0.00,2,68,08:43
FSLR,FSLR150612C00054500,54.5,2015-06-12,Call,0.25,0.00,0.00,1,133,08:43
FSLR,FSLR150612C00055000,55.0,2015-06-12,Call,0.25,0.00,0.00,1,81,08:43
FSLR,FSLR150612C00055500,55.5,2015-06-12,Call,2.00,0.00,0.00,16,4,08:43
FSLR,FSLR150612C00056000,56.0,2015-06-12,Call,1.04,0.00,0.00,6,41,08:43
FSLR,FSLR150612C00056500,56.5,2015-06-12,Call,0.94,0.00,0.00,4,31,08:43
FSLR,FSLR150612C00057000,57.0,2015-06-12,Call,0.29,0.00,0.00,1,90,08:43
FSLR,FSLR150612C00057500,57.5,2015-06-12,Call,0.56,0.00,0.00,163,244,08:43
FSLR,FSLR150612C00058000,58.0,2015-06-12,Call,0.03,0.00,0.00,2,11,08:43
FSLR,FSLR150612C00058500,58.5,2015-06-12,Call,0.05,0.00,0.00,1,18,08:43
FSLR,FSLR150612C00059000,59.0,2015-06-12,Call,0.48,0.00,0.00,6,20,08:43
FSLR,FSLR150612C00059500,59.5,2015-06-12,Call,0.04,0.00,0.00,3,3,08:43
FSLR,FSLR150612C00060000,60.0,2015-06-12,Call,0.03,0.00,0.00,5,87,08:43
FSLR,FSLR150612C00060500,60.5,2015-06-12,Call,0.01,0.00,0.00,1,14,08:43
FSLR,FSLR150612C00061000,61.0,2015-06-12,Call,0.01,0.00,0.00,10,166,08:43
FSLR,FSLR150612C00061500,61.5,2015-06-12,Call,0.67,0.00,0.00,87,84,08:43
FSLR,FSLR150612C00062000,62.0,2015-06-12,Call,0.60,0.00,0.00,1,13,08:43
FSLR,FSLR150612C00062500,62.5,2015-06-12,Call,0.09,0.00,0.00,1,5,08:43
FSLR,FSLR150612C00065000,65.0,2015-06-12,Call,0.34,0.00,0.00,42,42,08:43
FSLR,FSLR150612P00043500,43.5,2015-06-12,Put,0.13,0.00,0.00,81,81,08:43
FSLR,FSLR150612P00045000,45.0,2015-06-12,Put,0.22,0.00,0.00,5,5,08:43
FSLR,FSLR150612P00046000,46.0,2015-06-12,Put,0.05,0.00,0.00,1,1,08:43
FSLR,FSLR150612P00046500,46.5,2015-06-12,Put,0.03,0.00,0.00,1,16,08:43
FSLR,FSLR150612P00047000,47.0,2015-06-12,Put,0.12,0.00,0.00,705,807,08:43
FSLR,FSLR150612P00047500,47.5,2015-06-12,Put,0.05,0.00,0.00,5,60,08:43
FSLR,FSLR150612P00048000,48.0,2015-06-12,Put,0.09,0.00,0.00,3,190,08:43
FSLR,FSLR150612P00048500,48.5,2015-06-12,Put,0.26,0.00,0.00,1,119,08:43
FSLR,FSLR150612P00049000,49.0,2015-06-12,Put,0.11,0.00,0.00,31,356,08:43
FSLR,FSLR150612P00049500,49.5,2015-06-12,Put,0.17,0.00,0.00,7,307,08:43
FSLR,FSLR150612P00050000,50.0,2015-06-12,Put,0.29,0.00,0.00,142,364,08:43
FSLR,FSLR150612P00050500,50.5,2015-06-12,Put,0.49,0.00,0.00,30,289,08:43
FSLR,FSLR150612P00051000,51.0,2015-06-12,Put,0.78,0.00,0.00,5,83,08:43
FSLR,FSLR150612P00051500,51.5,2015-06-12,Put,1.39,0.00,0.00,10,118,08:44
FSLR,FSLR150612P00052000,52.0,2015-06-12,Put,1.83,0.00,0.00,10,70,08:44
FSLR,FSLR150612P00052500,52.5,2015-06-12,Put,2.20,0.00,0.00,1,14,08:44
FSLR,FSLR150612P00053000,53.0,2015-06-12,Put,2.55,0.00,0.00,4,82,08:44
FSLR,FSLR150612P00053500,53.5,2015-06-12,Put,2.89,0.00,0.00,10,14,08:44
FSLR,FSLR150612P00054000,54.0,2015-06-12,Put,4.20,0.00,0.00,8,13,08:44
FSLR,FSLR150612P00054500,54.5,2015-06-12,Put,0.84,0.00,0.00,36,36,08:44
FSLR,FSLR150612P00055000,55.0,2015-06-12,Put,5.50,0.00,0.00,8,47,08:44
FSLR,FSLR150612P00055500,55.5,2015-06-12,Put,6.10,0.00,0.00,5,18,08:44
FSLR,FSLR150612P00056000,56.0,2015-06-12,Put,5.47,0.00,0.00,1,33,08:44
FSLR,FSLR150612P00056500,56.5,2015-06-12,Put,6.29,0.00,0.00,3,67,08:44
FSLR,FSLR150612P00057000,57.0,2015-06-12,Put,2.60,0.00,0.00,16,16,08:44
FSLR,FSLR150612P00057500,57.5,2015-06-12,Put,2.25,0.00,0.00,3,15,08:44
FSLR,FSLR150612P00058000,58.0,2015-06-12,Put,8.85,0.00,0.00,7,23,08:44
FSLR,FSLR150612P00058500,58.5,2015-06-12,Put,3.90,0.00,0.00,16,8,08:44
FSLR,FSLR150612P00059000,59.0,2015-06-12,Put,8.13,0.00,0.00,5,5,08:44
FSLR,FSLR150612P00059500,59.5,2015-06-12,Put,4.10,0.00,0.00,24,32,08:44
FSLR,FSLR150612P00060000,60.0,2015-06-12,Put,4.47,0.00,0.00,1,1,08:44
FSLR,FSLR150612P00060500,60.5,2015-06-12,Put,5.05,0.00,0.00,12,12,08:44
FSLR,FSLR150612P00061500,61.5,2015-06-12,Put,3.80,0.00,0.00,3,3,08:44
FSLR,FSLR150612P00062500,62.5,2015-06-12,Put,5.00,0.00,0.00,1,0,08:44
FSLR,FSLR150612P00063000,63.0,2015-06-12,Put,7.67,0.00,0.00,5,0,08:44
FSLR,FSLR150612P00063500,63.5,2015-06-12,Put,5.80,0.00,0.00,2,1,08:44
FSLR,FSLR150612P00064000,64.0,2015-06-12,Put,6.20,0.00,0.00,13,13,08:44
FSLR,FSLR150612P00064500,64.5,2015-06-12,Put,5.95,0.00,0.00,3,0,08:44
FSLR,FSLR150612P00065000,65.0,2015-06-12,Put,9.37,0.00,0.00,12,0,08:44
FSLR,FSLR150612P00065500,65.5,2015-06-12,Put,7.40,0.00,0.00,1,1,08:44
StockSymbol,Options Symbol,Strike,Expiration Date,OptionType,Price,Bid,Ask,Volume,Open Interest,Time
FSLR,FSLR150612C00045000,45.0,2015-06-12,Call,4.45,0.00,0.00,12,38,08:45
FSLR,FSLR150612C00045500,45.5,2015-06-12,Call,5.55,0.00,0.00,4,4,08:45
FSLR,FSLR150612C00046000,46.0,2015-06-12,Call,5.05,0.00,0.00,9,9,08:45
FSLR,FSLR150612C00046500,46.5,2015-06-12,Call,3.55,0.00,0.00,1,5,08:45
FSLR,FSLR150612C00047000,47.0,2015-06-12,Call,4.30,0.00,0.00,1,1,08:45
FSLR,FSLR150612C00047500,47.5,2015-06-12,Call,3.95,0.00,0.00,2,2,08:45
FSLR,FSLR150612C00048000,48.0,2015-06-12,Call,2.32,0.00,0.00,9,38,08:45
FSLR,FSLR150612C00048500,48.5,2015-06-12,Call,2.40,0.00,0.00,1,3,08:45
FSLR,FSLR150612C00049000,49.0,2015-06-12,Call,2.20,0.00,0.00,370,351,08:45
FSLR,FSLR150612C00049500,49.5,2015-06-12,Call,1.26,0.00,0.00,868,735,08:45
FSLR,FSLR150612C00050000,50.0,2015-06-12,Call,0.79,0.00,0.00,71,1426,08:45
FSLR,FSLR150612C00050500,50.5,2015-06-12,Call,0.71,0.00,0.00,18,1001,08:45
FSLR,FSLR150612C00051000,51.0,2015-06-12,Call,0.35,0.00,0.00,272,924,08:45
FSLR,FSLR150612C00051500,51.5,2015-06-12,Call,0.25,0.00,0.00,249,740,08:45
FSLR,FSLR150612C00052000,52.0,2015-06-12,Call,0.24,0.00,0.00,506,655,08:45
FSLR,FSLR150612C00052500,52.5,2015-06-12,Call,0.10,0.00,0.00,15,573,08:45
FSLR,FSLR150612C00053000,53.0,2015-06-12,Call,0.12,0.00,0.00,6,305,08:45
FSLR,FSLR150612C00053500,53.5,2015-06-12,Call,0.15,0.00,0.00,3,43,08:45
FSLR,FSLR150612C00054000,54.0,2015-06-12,Call,0.12,0.00,0.00,2,68,08:45
FSLR,FSLR150612C00054500,54.5,2015-06-12,Call,0.25,0.00,0.00,1,133,08:45
FSLR,FSLR150612C00055000,55.0,2015-06-12,Call,0.25,0.00,0.00,1,81,08:45
FSLR,FSLR150612C00055500,55.5,2015-06-12,Call,2.00,0.00,0.00,16,4,08:45
FSLR,FSLR150612C00056000,56.0,2015-06-12,Call,1.04,0.00,0.00,6,41,08:45
FSLR,FSLR150612C00056500,56.5,2015-06-12,Call,0.94,0.00,0.00,4,31,08:45
FSLR,FSLR150612C00057000,57.0,2015-06-12,Call,0.29,0.00,0.00,1,90,08:45
FSLR,FSLR150612C00057500,57.5,2015-06-12,Call,0.56,0.00,0.00,163,244,08:45
FSLR,FSLR150612C00058000,58.0,2015-06-12,Call,0.03,0.00,0.00,2,11,08:45
FSLR,FSLR150612C00058500,58.5,2015-06-12,Call,0.05,0.00,0.00,1,18,08:45
FSLR,FSLR150612C00059000,59.0,2015-06-12,Call,0.48,0.00,0.00,6,20,08:45
FSLR,FSLR150612C00059500,59.5,2015-06-12,Call,0.04,0.00,0.00,3,3,08:45
FSLR,FSLR150612C00060000,60.0,2015-06-12,Call,0.03,0.00,0.00,5,87,08:45
FSLR,FSLR150612C00060500,60.5,2015-06-12,Call,0.01,0.00,0.00,1,14,08:45
FSLR,FSLR150612C00061000,61.0,2015-06-12,Call,0.01,0.00,0.00,10,166,08:45
FSLR,FSLR150612C00061500,61.5,2015-06-12,Call,0.67,0.00,0.00,87,84,08:45
FSLR,FSLR150612C00062000,62.0,2015-06-12,Call,0.60,0.00,0.00,1,13,08:45
FSLR,FSLR150612C00062500,62.5,2015-06-12,Call,0.09,0.00,0.00,1,5,08:45
FSLR,FSLR150612C00065000,65.0,2015-06-12,Call,0.34,0.00,0.00,42,42,08:45
FSLR,FSLR150612P00043500,43.5,2015-06-12,Put,0.13,0.00,0.00,81,81,08:45
FSLR,FSLR150612P00045000,45.0,2015-06-12,Put,0.22,0.00,0.00,5,5,08:45
FSLR,FSLR150612P00046000,46.0,2015-06-12,Put,0.05,0.00,0.00,1,1,08:45
FSLR,FSLR150612P00046500,46.5,2015-06-12,Put,0.03,0.00,0.00,1,16,08:45
FSLR,FSLR150612P00047000,47.0,2015-06-12,Put,0.12,0.00,0.00,705,807,08:45
FSLR,FSLR150612P00047500,47.5,2015-06-12,Put,0.05,0.00,0.00,5,60,08:45
FSLR,FSLR150612P00048000,48.0,2015-06-12,Put,0.09,0.00,0.00,3,190,08:45
FSLR,FSLR150612P00048500,48.5,2015-06-12,Put,0.26,0.00,0.00,1,119,08:45
FSLR,FSLR150612P00049000,49.0,2015-06-12,Put,0.11,0.00,0.00,31,356,08:45
FSLR,FSLR150612P00049500,49.5,2015-06-12,Put,0.17,0.00,0.00,7,307,08:45
FSLR,FSLR150612P00050000,50.0,2015-06-12,Put,0.29,0.00,0.00,142,364,08:45
FSLR,FSLR150612P00050500,50.5,2015-06-12,Put,0.49,0.00,0.00,30,289,08:45
FSLR,FSLR150612P00051000,51.0,2015-06-12,Put,0.78,0.00,0.00,5,83,08:45
FSLR,FSLR150612P00051500,51.5,2015-06-12,Put,1.39,0.00,0.00,10,118,08:45
FSLR,FSLR150612P00052000,52.0,2015-06-12,Put,1.83,0.00,0.00,10,70,08:45
FSLR,FSLR150612P00052500,52.5,2015-06-12,Put,2.20,0.00,0.00,1,14,08:45
FSLR,FSLR150612P00053000,53.0,2015-06-12,Put,2.55,0.00,0.00,4,82,08:45
FSLR,FSLR150612P00053500,53.5,2015-06-12,Put,2.89,0.00,0.00,10,14,08:45
FSLR,FSLR150612P00054000,54.0,2015-06-12,Put,4.20,0.00,0.00,8,13,08:45
FSLR,FSLR150612P00054500,54.5,2015-06-12,Put,0.84,0.00,0.00,36,36,08:45
FSLR,FSLR150612P00055000,55.0,2015-06-12,Put,5.50,0.00,0.00,8,47,08:45
FSLR,FSLR150612P00055500,55.5,2015-06-12,Put,6.10,0.00,0.00,5,18,08:45
FSLR,FSLR150612P00056000,56.0,2015-06-12,Put,5.47,0.00,0.00,1,33,08:45
FSLR,FSLR150612P00056500,56.5,2015-06-12,Put,6.29,0.00,0.00,3,67,08:45
FSLR,FSLR150612P00057000,57.0,2015-06-12,Put,2.60,0.00,0.00,16,16,08:45
FSLR,FSLR150612P00057500,57.5,2015-06-12,Put,2.25,0.00,0.00,3,15,08:45
FSLR,FSLR150612P00058000,58.0,2015-06-12,Put,8.85,0.00,0.00,7,23,08:45
FSLR,FSLR150612P00058500,58.5,2015-06-12,Put,3.90,0.00,0.00,16,8,08:45
FSLR,FSLR150612P00059000,59.0,2015-06-12,Put,8.13,0.00,0.00,5,5,08:45
FSLR,FSLR150612P00059500,59.5,2015-06-12,Put,4.10,0.00,0.00,24,32,08:45
FSLR,FSLR150612P00060000,60.0,2015-06-12,Put,4.47,0.00,0.00,1,1,08:45
FSLR,FSLR150612P00060500,60.5,2015-06-12,Put,5.05,0.00,0.00,12,12,08:45
FSLR,FSLR150612P00061500,61.5,2015-06-12,Put,3.80,0.00,0.00,3,3,08:45
FSLR,FSLR150612P00062500,62.5,2015-06-12,Put,5.00,0.00,0.00,1,0,08:45
FSLR,FSLR150612P00063000,63.0,2015-06-12,Put,7.67,0.00,0.00,5,0,08:45
FSLR,FSLR150612P00063500,63.5,2015-06-12,Put,5.80,0.00,0.00,2,1,08:45
FSLR,FSLR150612P00064000,64.0,2015-06-12,Put,6.20,0.00,0.00,13,13,08:45
FSLR,FSLR150612P00064500,64.5,2015-06-12,Put,5.95,0.00,0.00,3,0,08:45
FSLR,FSLR150612P00065000,65.0,2015-06-12,Put,9.37,0.00,0.00,12,0,08:45
FSLR,FSLR150612P00065500,65.5,2015-06-12,Put,7.40,0.00,0.00,1,1,08:45
StockSymbol,Options Symbol,Strike,Expiration Date,OptionType,Price,Bid,Ask,Volume,Open Interest,Time
FSLR,FSLR150612C00045000,45.0,2015-06-12,Call,4.45,0.00,0.00,12,38,08:46
FSLR,FSLR150612C00045500,45.5,2015-06-12,Call,5.55,0.00,0.00,4,4,08:46
FSLR,FSLR150612C00046000,46.0,2015-06-12,Call,5.05,0.00,0.00,9,9,08:46
FSLR,FSLR150612C00046500,46.5,2015-06-12,Call,3.55,0.00,0.00,1,5,08:46
